game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Overwatch,Singapore,1.29,103.85,119179.0,PC,2016.0,JP_Sales,0
Overwatch,Singapore,1.29,103.85,135896.0,PS4,2016.0,Other_Sales,0.33
Overwatch,Singapore,1.29,103.85,135897.0,XOne,2016.0,Other_Sales,0.1
Overwatch,Singapore,1.29,103.85,135898.0,PC,2016.0,Other_Sales,0.04
Overwatch,Singapore,1.29,103.85,152615.0,PS4,2016.0,Global_Sales,2.14
Overwatch,Singapore,1.29,103.85,152616.0,XOne,2016.0,Global_Sales,1.06
Overwatch,Singapore,1.29,103.85,152617.0,PC,2016.0,Global_Sales,0.53
Overwatch,Singapore,1.29,103.85,169334.0,PS4,2016.0,Critic_Score,90
Overwatch,Singapore,1.29,103.85,169335.0,XOne,2016.0,Critic_Score,91
Overwatch,Singapore,1.29,103.85,169336.0,PC,2016.0,Critic_Score,91
Overwatch,Singapore,1.29,103.85,186053.0,PS4,2016.0,Critic_Count,31
Overwatch,Singapore,1.29,103.85,186054.0,XOne,2016.0,Critic_Count,18
Overwatch,Singapore,1.29,103.85,186055.0,PC,2016.0,Critic_Count,62
Overwatch,Singapore,1.29,103.85,202772.0,PS4,2016.0,User_Score,6.1
Overwatch,Singapore,1.29,103.85,202773.0,XOne,2016.0,User_Score,5.6
Overwatch,Singapore,1.29,103.85,202774.0,PC,2016.0,User_Score,6.8
Overwatch,Singapore,1.29,103.85,219491.0,PS4,2016.0,User_Count,1358
Overwatch,Singapore,1.29,103.85,219492.0,XOne,2016.0,User_Count,668
Overwatch,Singapore,1.29,103.85,219493.0,PC,2016.0,User_Count,4052
Overwatch,Singapore,1.29,103.85,236210.0,PS4,2016.0,Developer,Blizzard Entertainment
Overwatch,Singapore,1.29,103.85,236211.0,XOne,2016.0,Developer,Blizzard Entertainment
Overwatch,Singapore,1.29,103.85,236212.0,PC,2016.0,Developer,Blizzard Entertainment
Overwatch,Singapore,1.29,103.85,252929.0,PS4,2016.0,Rating,T
Overwatch,Singapore,1.29,103.85,252930.0,XOne,2016.0,Rating,T
Overwatch,Singapore,1.29,103.85,252931.0,PC,2016.0,Rating,T
CS:GO,Slovakia,48.15,17.11,,,,,
Battlefield 1,Slovenia,46.06,14.51,51493.0,PS4,2016.0,Genre,Shooter
Battlefield 1,Slovenia,46.06,14.51,51494.0,XOne,2016.0,Genre,Shooter
Battlefield 1,Slovenia,46.06,14.51,51495.0,PC,2016.0,Genre,Shooter
Battlefield 1,Slovenia,46.06,14.51,68212.0,PS4,2016.0,Publisher,Electronic Arts
Battlefield 1,Slovenia,46.06,14.51,68213.0,XOne,2016.0,Publisher,Electronic Arts
Battlefield 1,Slovenia,46.06,14.51,68214.0,PC,2016.0,Publisher,Electronic Arts
Battlefield 1,Slovenia,46.06,14.51,84931.0,PS4,2016.0,NA_Sales,1.1
