,game,platform,year,Variable,playtime
16862,Dungeon Defenders,PC,2011,MedianPlaytime,7.5
16863,TERA,PC,,MedianPlaytime,5.2
16864,Mafia II,X360,2010,MedianPlaytime,16.05
16865,Mafia II,PS3,2010,MedianPlaytime,16.05
16866,Mafia II,PC,2010,MedianPlaytime,16.05
16867,APB Reloaded,PC,2011,MedianPlaytime,3.2
16868,Deadpool,PS3,2013,MedianPlaytime,8.2
16869,Deadpool,X360,2013,MedianPlaytime,8.2
16870,Deadpool,PS4,2015,MedianPlaytime,8.2
16871,Deadpool,XOne,2015,MedianPlaytime,8.2
16872,Counter-Strike,XB,2003,MedianPlaytime,8.8
16873,Project CARS,PS4,2015,MedianPlaytime,9.5
16874,Project CARS,XOne,2015,MedianPlaytime,9.5
16875,Project CARS,PC,2015,MedianPlaytime,9.5
16876,World of Goo,PC,2008,MedianPlaytime,1
16877,Machinarium,PC,2009,MedianPlaytime,2.05
16878,Braid,PC,2009,MedianPlaytime,2.15
16879,Botanicula,PC,2012,MedianPlaytime,3.25
16880,Terraria,X360,2013,MedianPlaytime,20.35
16881,Terraria,PS3,2013,MedianPlaytime,20.35
16882,Terraria,PC,2011,MedianPlaytime,20.35
16883,Terraria,PSV,2013,MedianPlaytime,20.35
16884,Terraria,3DS,2016,MedianPlaytime,20.35
16885,Terraria,PS4,2014,MedianPlaytime,20.35
16886,Terraria,XOne,2014,MedianPlaytime,20.35
16887,Terraria,WiiU,2016,MedianPlaytime,20.35
16888,Saints Row 2,X360,2008,MedianPlaytime,4.6
16889,Saints Row 2,PS3,2008,MedianPlaytime,4.6
16890,Saints Row 2,PC,2009,MedianPlaytime,4.6
16891,GRID,PS3,2008,MedianPlaytime,3.35
16892,GRID,X360,2008,MedianPlaytime,3.35
16893,GRID,DS,,MedianPlaytime,3.35
16894,GRID,PC,,MedianPlaytime,3.35
16895,Darksiders,X360,2010,MedianPlaytime,5
16896,Darksiders,PC,2010,MedianPlaytime,5
16897,Darksiders,PS3,2010,MedianPlaytime,5
16898,Worms Reloaded,PC,2010,MedianPlaytime,2.4
16899,Alan Wake,X360,2010,MedianPlaytime,3.3
16900,Alan Wake,PC,2012,MedianPlaytime,3.3
16901,Peggle Nights,PC,2008,MedianPlaytime,3.8
16902,Puzzler World 2,DS,2010,MedianPlaytime,19.1
16903,Bejeweled 3,DS,,MedianPlaytime,6.2
16904,Bejeweled 3,PS3,,MedianPlaytime,6.2
16905,Bejeweled 3,X360,,MedianPlaytime,6.2
16906,Bejeweled 3,PC,2010,MedianPlaytime,6.2
16907,The Book of Unwritten Tales,PC,2009,MedianPlaytime,3.2
16908,The Movies,PC,2005,MedianPlaytime,14.5
16909,The Testament of Sherlock Holmes,PS3,2012,MedianPlaytime,2.9
16910,The Testament of Sherlock Holmes,PC,2012,MedianPlaytime,2.9
16911,The Testament of Sherlock Holmes,X360,2012,MedianPlaytime,2.9
16912,Indigo Prophecy,PS2,2005,MedianPlaytime,10.1
16913,Indigo Prophecy,XB,2005,MedianPlaytime,10.1
16914,Indigo Prophecy,PC,2005,MedianPlaytime,10.1
16915,DiRT 2,PS3,2009,MedianPlaytime,8.5
16916,DiRT 2,X360,2009,MedianPlaytime,8.5
16917,DiRT 2,Wii,2009,MedianPlaytime,8.5
16918,DiRT 2,PSP,2009,MedianPlaytime,8.5
16919,DiRT 2,DS,2009,MedianPlaytime,8.5
16920,DiRT 2,PC,2009,MedianPlaytime,8.5
16921,4 Elements,PC,2009,MedianPlaytime,10.15
16922,Singularity,X360,,MedianPlaytime,9.55
16923,Singularity,PS3,,MedianPlaytime,9.55
16924,Singularity,PC,2010,MedianPlaytime,9.55
16925,CID The Dummy,PSP,2009,MedianPlaytime,4.4
16926,CID The Dummy,Wii,2009,MedianPlaytime,4.4
16927,The Wolf Among Us,PS4,2014,MedianPlaytime,8.4
16928,The Wolf Among Us,PS3,2014,MedianPlaytime,8.4
16929,The Wolf Among Us,XOne,2014,MedianPlaytime,8.4
16930,The Wolf Among Us,PSV,2014,MedianPlaytime,8.4
16931,The Wolf Among Us,X360,2011,MedianPlaytime,8.4
16932,State of Decay,XOne,2015,MedianPlaytime,3.85
16933,Half-Life,PC,1997,MedianPlaytime,1.5
16934,Half-Life,PS2,2001,MedianPlaytime,1.5
16935,Trine 2,PC,2011,MedianPlaytime,3.4
16936,Trine 2,WiiU,2012,MedianPlaytime,3.4
16937,Blur,PS3,2010,MedianPlaytime,3.2
16938,Blur,X360,2010,MedianPlaytime,3.2
16939,Blur,PC,2010,MedianPlaytime,3.2
16940,Magicka,PC,2011,MedianPlaytime,6
16941,The Longest Journey,PC,1999,MedianPlaytime,0.9
16942,Sid Meier's Civilization IV,PC,2005,MedianPlaytime,6.1
16943,Euro Truck Simulator 2,PC,2012,MedianPlaytime,14.7
16944,Just Cause,X360,2006,MedianPlaytime,1.75
16945,Just Cause,PC,2006,MedianPlaytime,1.75
16946,Just Cause,PS2,2006,MedianPlaytime,1.75
16947,This War of Mine,PS4,2016,MedianPlaytime,10.7
16948,Sniper Elite V2,PS3,2012,MedianPlaytime,3.2
16949,Sniper Elite V2,X360,2012,MedianPlaytime,3.2
16950,Sniper Elite V2,WiiU,2013,MedianPlaytime,3.2
16951,Stronghold 3,PC,2011,MedianPlaytime,5.55
16952,Mass Effect 2,X360,2010,MedianPlaytime,26.5
16953,Mass Effect 2,PS3,2011,MedianPlaytime,26.5
16954,Mass Effect 2,PC,2010,MedianPlaytime,26.5
16955,Borderlands,X360,2009,MedianPlaytime,13.75
16956,Borderlands,PS3,2009,MedianPlaytime,13.75
16957,Borderlands,PC,2009,MedianPlaytime,13.75
16958,EVE Online,PC,2003,MedianPlaytime,21
16959,DC Universe Online,PS3,2011,MedianPlaytime,4.3
16960,DC Universe Online,PC,2011,MedianPlaytime,4.3
16961,RIFT,PC,2011,MedianPlaytime,5.9
16962,Darksiders II,PS3,2012,MedianPlaytime,13.5
16963,Darksiders II,X360,2012,MedianPlaytime,13.5
16964,Darksiders II,PS4,2015,MedianPlaytime,13.5
16965,Darksiders II,PC,2012,MedianPlaytime,13.5
16966,Darksiders II,WiiU,2012,MedianPlaytime,13.5
16967,Darksiders II,XOne,2015,MedianPlaytime,13.5
16968,Anno 2070,PC,2011,MedianPlaytime,13.7
16969,Chessmaster,PS2,2003,MedianPlaytime,1.8
16970,Chessmaster,XB,2004,MedianPlaytime,1.8
16971,Chessmaster,GBA,2002,MedianPlaytime,1.8
16972,Might & Magic Heroes VI,PC,2011,MedianPlaytime,17.2
16973,Trapped Dead,PC,2011,MedianPlaytime,0.95
16974,Torchlight,PC,2009,MedianPlaytime,7.4
16975,Titan Quest,PC,2006,MedianPlaytime,0.7
16976,Duke Nukem Forever,X360,2011,MedianPlaytime,8.8
16977,Duke Nukem Forever,PS3,2011,MedianPlaytime,8.8
16978,Duke Nukem Forever,PC,2011,MedianPlaytime,8.8
16979,Company of Heroes 2,PC,2013,MedianPlaytime,12.8
16980,Battlefield 2,PC,2005,MedianPlaytime,1.8
16981,Men of War,PC,2009,MedianPlaytime,11.1
16982,Full Spectrum Warrior,XB,2004,MedianPlaytime,6.6
16983,Full Spectrum Warrior,PS2,2005,MedianPlaytime,6.6
16984,DiRT Rally,PS4,2016,MedianPlaytime,6.9
16985,DiRT Rally,XOne,2016,MedianPlaytime,6.9
16986,DiRT Rally,PC,2016,MedianPlaytime,6.9
16987,Defiance,X360,2013,MedianPlaytime,3.5
16988,Defiance,PS3,2013,MedianPlaytime,3.5
16989,Defiance,PC,2013,MedianPlaytime,3.5
16990,Tropico 5,PS4,2015,MedianPlaytime,16.6
16991,Tropico 5,PC,2014,MedianPlaytime,16.6
16992,Tropico 5,X360,2014,MedianPlaytime,16.6
16993,Football Manager 2013,PC,2012,MedianPlaytime,144
16994,Two Worlds II,X360,2011,MedianPlaytime,3.6
16995,Two Worlds II,PS3,2011,MedianPlaytime,3.6
16996,Two Worlds II,PC,2011,MedianPlaytime,3.6
16997,LEGO The Hobbit,PS4,2014,MedianPlaytime,7.2
16998,LEGO The Hobbit,PS3,2014,MedianPlaytime,7.2
16999,LEGO The Hobbit,X360,2014,MedianPlaytime,7.2
17000,LEGO The Hobbit,XOne,2014,MedianPlaytime,7.2
17001,LEGO The Hobbit,3DS,2014,MedianPlaytime,7.2
17002,LEGO The Hobbit,WiiU,2014,MedianPlaytime,7.2
17003,LEGO The Hobbit,PSV,2014,MedianPlaytime,7.2
17004,LEGO The Hobbit,PC,2014,MedianPlaytime,7.2
17005,LEGO Jurassic World,PS4,2015,MedianPlaytime,12.1
17006,LEGO Jurassic World,X360,2015,MedianPlaytime,12.1
17007,LEGO Jurassic World,PS3,2015,MedianPlaytime,12.1
17008,LEGO Jurassic World,XOne,2015,MedianPlaytime,12.1
17009,LEGO Jurassic World,3DS,2015,MedianPlaytime,12.1
17010,LEGO Jurassic World,WiiU,2015,MedianPlaytime,12.1
17011,LEGO Jurassic World,PSV,2015,MedianPlaytime,12.1
17012,LEGO Jurassic World,PC,2015,MedianPlaytime,12.1
17013,BioShock 2,X360,2010,MedianPlaytime,5
17014,BioShock 2,PS3,2010,MedianPlaytime,5
17015,BioShock 2,PC,,MedianPlaytime,5
17016,Homeworld Remastered Collection,PC,,MedianPlaytime,4.75
17017,Dead Space 2,X360,2011,MedianPlaytime,6
17018,Dead Space 2,PS3,2011,MedianPlaytime,6
17019,Dead Space 2,PC,2011,MedianPlaytime,6
17020,Crysis,PC,2007,MedianPlaytime,3.3
17021,Prey,X360,2006,MedianPlaytime,4.45
17022,Prey,PC,2006,MedianPlaytime,4.45
17023,F.E.A.R. 3,PS3,2011,MedianPlaytime,4.1
17024,F.E.A.R. 3,X360,2011,MedianPlaytime,4.1
17025,F.E.A.R. 3,PC,2011,MedianPlaytime,4.1
17026,F.E.A.R. Perseus Mandate,PC,2007,MedianPlaytime,4.1
17027,Fable III,X360,2010,MedianPlaytime,28
17028,Fable III,PC,2011,MedianPlaytime,28
17029,Football Manager 2011,PC,2010,MedianPlaytime,162
17030,Stronghold Kingdoms,PC,2011,MedianPlaytime,1.1
17031,Enclave,XB,2002,MedianPlaytime,1.25
17032,Football Manager 2012,PC,2011,MedianPlaytime,247
17033,Football Manager 2012,PSP,2011,MedianPlaytime,247
17034,Football Manager 2015,PC,2014,MedianPlaytime,144
17035,F1 2012,PS3,2012,MedianPlaytime,14.7
17036,F1 2012,X360,2012,MedianPlaytime,14.7
17037,F1 2012,PC,2012,MedianPlaytime,14.7
17038,Homefront,X360,2011,MedianPlaytime,5.4
17039,Homefront,PS3,2011,MedianPlaytime,5.4
17040,Homefront,PC,2011,MedianPlaytime,5.4
17041,Football Manager 2014,PC,2013,MedianPlaytime,181
17042,Football Manager 2014,PSV,2013,MedianPlaytime,181
17043,Football Manager 2016,PC,2015,MedianPlaytime,53
17044,Test Drive Unlimited 2,X360,,MedianPlaytime,7.8
17045,Test Drive Unlimited 2,PS3,,MedianPlaytime,7.8
17046,Test Drive Unlimited 2,PC,,MedianPlaytime,7.8
17047,Mortal Kombat X,PS4,2015,MedianPlaytime,12.75
17048,Mortal Kombat X,XOne,2015,MedianPlaytime,12.75
17049,Mortal Kombat X,PC,2015,MedianPlaytime,12.75
17050,Max Payne 3,PS3,2012,MedianPlaytime,10.6
17051,Max Payne 3,X360,2012,MedianPlaytime,10.6
17052,Max Payne 3,PC,2012,MedianPlaytime,10.6
17053,Shovel Knight,3DS,2015,MedianPlaytime,6.4
17054,Shovel Knight,WiiU,2015,MedianPlaytime,6.4
17055,Shovel Knight,PS4,2015,MedianPlaytime,6.4
17056,The Last Remnant,X360,2008,MedianPlaytime,5
17057,The Last Remnant,PC,2009,MedianPlaytime,5
17058,The Evil Within,PS4,2014,MedianPlaytime,4.2
17059,The Evil Within,PS3,2014,MedianPlaytime,4.2
17060,The Evil Within,XOne,2014,MedianPlaytime,4.2
17061,The Evil Within,X360,2014,MedianPlaytime,4.2
17062,The Evil Within,PC,2014,MedianPlaytime,4.2
17063,Rayman Legends,PS4,2014,MedianPlaytime,18.05
17064,Rayman Legends,WiiU,2013,MedianPlaytime,18.05
17065,Rayman Legends,PS3,2013,MedianPlaytime,18.05
17066,Rayman Legends,X360,2013,MedianPlaytime,18.05
17067,Rayman Legends,XOne,2014,MedianPlaytime,18.05
17068,Rayman Legends,PSV,2014,MedianPlaytime,18.05
17069,Guild Wars,PC,2005,MedianPlaytime,6.8
17070,Evolve,PS4,2015,MedianPlaytime,11.8
17071,Evolve,XOne,2015,MedianPlaytime,11.8
17072,Evolve,PC,2015,MedianPlaytime,11.8
17073,Far Cry,PC,2004,MedianPlaytime,1.05
17074,Risen,X360,2009,MedianPlaytime,9.5
17075,Risen,PC,2009,MedianPlaytime,9.5
17076,FlatOut 2,PS2,2006,MedianPlaytime,0.65
17077,FlatOut 2,XB,2006,MedianPlaytime,0.65
17078,Farming Simulator 2011,PC,2010,MedianPlaytime,15.8
17079,NBA 2K15,PS4,2014,MedianPlaytime,107
17080,NBA 2K15,XOne,2014,MedianPlaytime,107
17081,NBA 2K15,X360,2014,MedianPlaytime,107
17082,NBA 2K15,PS3,2014,MedianPlaytime,107
17083,NASCAR '14,X360,2014,MedianPlaytime,0.9
17084,NASCAR '14,PS3,2014,MedianPlaytime,0.9
17085,Mortal Kombat Kollection,PS2,2008,MedianPlaytime,0.5
17086,Legendary,X360,2008,MedianPlaytime,0.55
17087,Legendary,PS3,2008,MedianPlaytime,0.55
17088,Legendary,PC,2008,MedianPlaytime,0.55
17089,Supreme Commander 2,X360,2010,MedianPlaytime,19
17090,Supreme Commander 2,PC,2010,MedianPlaytime,19
17091,Supreme Commander,X360,2008,MedianPlaytime,5.25
17092,Supreme Commander,PC,2007,MedianPlaytime,5.25
17093,Football Manager 2010,PC,2009,MedianPlaytime,96
17094,The Darkness II,X360,2012,MedianPlaytime,4.9
17095,The Darkness II,PS3,2012,MedianPlaytime,4.9
17096,The Darkness II,PC,2012,MedianPlaytime,4.9
17097,Grand Theft Auto III,PS2,2001,MedianPlaytime,1.25
17098,Grand Theft Auto III,PC,2002,MedianPlaytime,1.25
17099,Assassin's Creed,X360,2007,MedianPlaytime,7.3
17100,Assassin's Creed,PS3,2007,MedianPlaytime,7.3
17101,Assassin's Creed,PC,2008,MedianPlaytime,7.3
17102,Majesty 2 Collection,PC,2011,MedianPlaytime,25
17103,Wasteland 2,PS4,2015,MedianPlaytime,17.6
17104,Wasteland 2,PC,2015,MedianPlaytime,17.6
17105,Wasteland 2,XOne,2015,MedianPlaytime,17.6
17106,Gothic 3,PC,2006,MedianPlaytime,16.8
17107,Dead Rising 2,X360,2010,MedianPlaytime,4.9
17108,Dead Rising 2,PS3,2010,MedianPlaytime,4.9
17109,Dead Rising 2,PC,2010,MedianPlaytime,4.9
17110,Dead Rising 2,PS4,2016,MedianPlaytime,4.9
17111,Dead Rising 2,XOne,2016,MedianPlaytime,4.9
17112,Rogue Warrior,PS3,2009,MedianPlaytime,1.5
17113,Rogue Warrior,X360,2009,MedianPlaytime,1.5
17114,Worms Armageddon,PS,1999,MedianPlaytime,1.8
17115,Worms Armageddon,N64,1999,MedianPlaytime,1.8
17116,Farming Simulator 2013,PC,2012,MedianPlaytime,15.5
17117,Farming Simulator 2013,X360,2013,MedianPlaytime,15.5
17118,Farming Simulator 2013,PS3,2013,MedianPlaytime,15.5
17119,GRID Autosport,PS3,2014,MedianPlaytime,4.7
17120,GRID Autosport,X360,2014,MedianPlaytime,4.7
17121,GRID Autosport,PC,2014,MedianPlaytime,4.7
17122,Red Faction,PS2,2001,MedianPlaytime,1.65
17123,Overlord II,X360,2009,MedianPlaytime,2.7
17124,Overlord II,PS3,2009,MedianPlaytime,2.7
17125,Overlord II,PC,2009,MedianPlaytime,2.7
17126,Overlord,X360,2007,MedianPlaytime,4.15
17127,Overlord,PC,2007,MedianPlaytime,4.15
17128,Goodbye Deponia,PC,2013,MedianPlaytime,3.4
17129,Deponia,PC,2012,MedianPlaytime,4.8
17130,Sid Meier's Pirates!,PSP,2007,MedianPlaytime,5.3
17131,Sid Meier's Pirates!,Wii,2010,MedianPlaytime,5.3
17132,Sid Meier's Pirates!,XB,2005,MedianPlaytime,5.3
17133,Dragon's Lair,DS,2010,MedianPlaytime,0.45
17134,Star Trek Online,PC,2010,MedianPlaytime,17.7
17135,Child of Light,PSV,2014,MedianPlaytime,7.5
17136,Child of Light,PS4,2014,MedianPlaytime,7.5
17137,Hearts of Iron III,PC,2009,MedianPlaytime,6.6
17138,Sengoku,PC,2011,MedianPlaytime,1.3
17139,Pro Evolution Soccer 2015,PS4,2014,MedianPlaytime,115.5
17140,Pro Evolution Soccer 2015,PS3,2014,MedianPlaytime,115.5
17141,Pro Evolution Soccer 2015,XOne,2014,MedianPlaytime,115.5
17142,Pro Evolution Soccer 2015,X360,2014,MedianPlaytime,115.5
17143,Pro Evolution Soccer 2015,PC,2014,MedianPlaytime,115.5
17144,Street Fighter IV,PS3,2009,MedianPlaytime,8.9
17145,Street Fighter IV,X360,2009,MedianPlaytime,8.9
17146,Street Fighter IV,PC,,MedianPlaytime,8.9
17147,Sid Meier's Railroads!,PC,2006,MedianPlaytime,3.65
17148,Bejeweled 2 Deluxe,PC,2006,MedianPlaytime,0.3
17149,Dead Rising 3,XOne,2013,MedianPlaytime,11.5
17150,Just Cause 3,PS4,2015,MedianPlaytime,11.4
17151,Just Cause 3,XOne,2015,MedianPlaytime,11.4
17152,Just Cause 3,PC,2015,MedianPlaytime,11.4
17153,X Rebirth,PC,2013,MedianPlaytime,6.6
17154,Way of the Samurai 4,PS3,2011,MedianPlaytime,3.7
17155,F1 2014,PS3,2014,MedianPlaytime,4.8
17156,F1 2014,X360,2014,MedianPlaytime,4.8
17157,F1 2014,PC,2014,MedianPlaytime,4.8
17158,Sniper Elite,PS2,2005,MedianPlaytime,1.8
17159,Sniper Elite,Wii,2010,MedianPlaytime,1.8
17160,Sniper Elite,XB,2005,MedianPlaytime,1.8
17161,Sniper Elite,PC,2005,MedianPlaytime,1.8
17162,Tom Clancy's EndWar,X360,2008,MedianPlaytime,1.2
17163,Tom Clancy's EndWar,PS3,2008,MedianPlaytime,1.2
17164,Tom Clancy's EndWar,PSP,2008,MedianPlaytime,1.2
17165,Tom Clancy's EndWar,DS,2008,MedianPlaytime,1.2
17166,Tom Clancy's EndWar,PC,2009,MedianPlaytime,1.2
17167,Fallout 3,X360,2008,MedianPlaytime,7.35
17168,Fallout 3,PS3,2008,MedianPlaytime,7.35
17169,Fallout 3,PC,2008,MedianPlaytime,7.35
17170,Evil Genius,PC,2004,MedianPlaytime,13.9
17171,Pillars of Eternity,PC,2014,MedianPlaytime,29
17172,Tales of Zestiria,PS3,2015,MedianPlaytime,28
17173,Tales of Zestiria,PS4,2015,MedianPlaytime,28
17174,Trials Fusion,PS4,2014,MedianPlaytime,9.1
17175,Trials Fusion,XOne,2014,MedianPlaytime,9.1
17176,Trials Fusion,PC,2014,MedianPlaytime,9.1
17177,Bulletstorm,X360,2011,MedianPlaytime,3.9
17178,Bulletstorm,PS3,2011,MedianPlaytime,3.9
17179,Bulletstorm,PC,2011,MedianPlaytime,3.9
17180,NBA 2K16,PS4,2015,MedianPlaytime,36
17181,NBA 2K16,XOne,2015,MedianPlaytime,36
17182,NBA 2K16,X360,2015,MedianPlaytime,36
17183,NBA 2K16,PS3,2015,MedianPlaytime,36
17184,NBA 2K16,PC,2015,MedianPlaytime,36
17185,Rocksmith 2014,PS3,2013,MedianPlaytime,27
17186,Rocksmith 2014,X360,2013,MedianPlaytime,27
17187,Rocksmith 2014,PC,2013,MedianPlaytime,27
17188,Rocksmith 2014,PS4,2014,MedianPlaytime,27
17189,Rocksmith 2014,XOne,2014,MedianPlaytime,27
17190,Grand Theft Auto,PS,1997,MedianPlaytime,0.15
17191,Grand Theft Auto,GBA,2004,MedianPlaytime,0.15
17192,Mini Ninjas,Wii,2009,MedianPlaytime,4.5
17193,Mini Ninjas,PS3,2009,MedianPlaytime,4.5
17194,Mini Ninjas,DS,2009,MedianPlaytime,4.5
17195,Mini Ninjas,X360,2009,MedianPlaytime,4.5
17196,Mini Ninjas,PC,2009,MedianPlaytime,4.5
17197,Ikaruga,GC,2003,MedianPlaytime,1.6
17198,WWE 2K15,PS4,2014,MedianPlaytime,2.7
17199,WWE 2K15,PS3,2014,MedianPlaytime,2.7
17200,WWE 2K15,X360,2014,MedianPlaytime,2.7
17201,WWE 2K15,XOne,2014,MedianPlaytime,2.7
17202,Dungeon Siege III,PS3,2011,MedianPlaytime,2.5
17203,Dungeon Siege III,X360,2011,MedianPlaytime,2.5
17204,Dungeon Siege III,PC,2011,MedianPlaytime,2.5
17205,15 Days,PC,2009,MedianPlaytime,0.5
17206,The Secret World,PC,2012,MedianPlaytime,10.8
17207,Alpha Protocol,PS3,2010,MedianPlaytime,1.5
17208,Alpha Protocol,X360,2010,MedianPlaytime,1.5
17209,Alpha Protocol,PC,2010,MedianPlaytime,1.5
17210,Mount & Blade,PC,2008,MedianPlaytime,5.7
17211,Syberia,DS,2008,MedianPlaytime,3.3
17212,Syberia,XB,2003,MedianPlaytime,3.3
17213,Syberia,PC,2002,MedianPlaytime,3.3
17214,Winning Post 8 2015,PSV,2015,MedianPlaytime,127
17215,Winning Post 8 2015,PS3,2015,MedianPlaytime,127
17216,Zombie Army Trilogy,PS4,2015,MedianPlaytime,0.8
17217,Zombie Army Trilogy,XOne,2015,MedianPlaytime,0.8
17218,Airline Tycoon 2,PC,2011,MedianPlaytime,6
17219,Cities XL 2012,PC,2011,MedianPlaytime,8.5
17220,Remember Me,PS3,2013,MedianPlaytime,5.1
17221,Remember Me,X360,2013,MedianPlaytime,5.1
17222,Remember Me,PC,2013,MedianPlaytime,5.1
17223,Quake II,PS,1998,MedianPlaytime,1.95
17224,Quake II,N64,1999,MedianPlaytime,1.95
17225,Tomb Raider II,PS,1997,MedianPlaytime,1.75
17226,Tomb Raider II,PC,1997,MedianPlaytime,1.75
17227,X-Blades,X360,2009,MedianPlaytime,2.05
17228,X-Blades,PS3,2009,MedianPlaytime,2.05
17229,Sacred Gold,PC,2005,MedianPlaytime,0.95
17230,Call of Duty 2,X360,2005,MedianPlaytime,1.65
17231,Call of Duty 2,PC,2005,MedianPlaytime,1.65
17232,F1 2013,PS3,2013,MedianPlaytime,6.8
17233,F1 2013,X360,2013,MedianPlaytime,6.8
17234,Devil May Cry 4,PS3,2008,MedianPlaytime,4.1
17235,Devil May Cry 4,X360,2008,MedianPlaytime,4.1
17236,Devil May Cry 4,PS4,2015,MedianPlaytime,4.1
17237,Devil May Cry 4,PC,2008,MedianPlaytime,4.1
17238,Binary Domain,PS3,2012,MedianPlaytime,1.1
17239,Binary Domain,X360,2012,MedianPlaytime,1.1
17240,NBA 2K14,X360,2013,MedianPlaytime,67.5
17241,NBA 2K14,PS3,2013,MedianPlaytime,67.5
17242,NBA 2K14,PS4,2013,MedianPlaytime,67.5
17243,NBA 2K14,XOne,2013,MedianPlaytime,67.5
17244,Lost Planet 3,PS3,2013,MedianPlaytime,4.9
17245,Lost Planet 3,X360,2013,MedianPlaytime,4.9
17246,Lost Planet 3,PC,2013,MedianPlaytime,4.9
17247,Assetto Corsa,PS4,2016,MedianPlaytime,11.25
17248,Assetto Corsa,XOne,2016,MedianPlaytime,11.25
17249,Rocksmith,PS3,2011,MedianPlaytime,4
17250,Rocksmith,X360,2011,MedianPlaytime,4
17251,Rocksmith,PC,,MedianPlaytime,4
17252,Cities in Motion,PC,2011,MedianPlaytime,6.1
17253,The Cursed Crusade,PS3,2011,MedianPlaytime,0.75
17254,The Cursed Crusade,X360,2011,MedianPlaytime,0.75
17255,The Cursed Crusade,PC,2011,MedianPlaytime,0.75
17256,Alone in the Dark,X360,2008,MedianPlaytime,0.4
17257,Alone in the Dark,Wii,2008,MedianPlaytime,0.4
17258,Alone in the Dark,PS2,2008,MedianPlaytime,0.4
17259,Alone in the Dark,PC,2008,MedianPlaytime,0.4
17260,Lost Planet 2,PS3,2010,MedianPlaytime,4.05
17261,Lost Planet 2,X360,2010,MedianPlaytime,4.05
17262,Lost Planet 2,PC,2010,MedianPlaytime,4.05
17263,Bound By Flame,PS4,2014,MedianPlaytime,2.6
17264,Prince of Persia,PS3,2008,MedianPlaytime,1.3
17265,Prince of Persia,X360,2008,MedianPlaytime,1.3
17266,Killer is Dead,PS3,2013,MedianPlaytime,1.25
17267,Killer is Dead,X360,2013,MedianPlaytime,1.25
17268,NBA 2K9,X360,2008,MedianPlaytime,3.4
17269,NBA 2K9,PS3,2008,MedianPlaytime,3.4
17270,NBA 2K9,PS2,2008,MedianPlaytime,3.4
17271,World of Zoo,DS,2009,MedianPlaytime,1.2
17272,World of Zoo,Wii,2009,MedianPlaytime,1.2
17273,World of Zoo,PC,2009,MedianPlaytime,1.2
17274,Descent,PS,1996,MedianPlaytime,3.2
17275,Sonic CD,SCD,1993,MedianPlaytime,1.4
17276,Tom Clancy's Splinter Cell,XB,2002,MedianPlaytime,0.5
17277,Tom Clancy's Splinter Cell,PS2,2003,MedianPlaytime,0.5
17278,Tom Clancy's Splinter Cell,GC,2003,MedianPlaytime,0.5
17279,Tom Clancy's Splinter Cell,GBA,2003,MedianPlaytime,0.5
17280,Take On Helicopters,PC,2011,MedianPlaytime,2
17281,Railroad Tycoon 3,PC,2003,MedianPlaytime,1
17282,DarkStar One,PC,2006,MedianPlaytime,14.1
17283,Rayman Origins,PS3,2011,MedianPlaytime,10.4
17284,Rayman Origins,X360,2011,MedianPlaytime,10.4
17285,Rayman Origins,Wii,2011,MedianPlaytime,10.4
17286,Rayman Origins,PSV,2012,MedianPlaytime,10.4
17287,Rayman Origins,3DS,2012,MedianPlaytime,10.4
17288,Rayman Origins,PC,2012,MedianPlaytime,10.4
17289,Order of War,PC,2009,MedianPlaytime,1.5
17290,War for the Overworld,PC,2015,MedianPlaytime,11.2
17291,Assassin's Creed Syndicate,PS4,2015,MedianPlaytime,35
17292,Assassin's Creed Syndicate,XOne,2015,MedianPlaytime,35
17293,Assassin's Creed Syndicate,PC,2015,MedianPlaytime,35
17294,The Bard's Tale,PS2,2004,MedianPlaytime,1.4
17295,The Bard's Tale,XB,2004,MedianPlaytime,1.4
17296,Demigod,PC,2009,MedianPlaytime,2.2
17297,F1 2010,PS3,2010,MedianPlaytime,19.3
17298,F1 2010,X360,2010,MedianPlaytime,19.3
17299,F1 2010,PC,2010,MedianPlaytime,19.3
17300,Mechanic Escape,PS3,2012,MedianPlaytime,1.75
17301,The Inner World,PC,2013,MedianPlaytime,1.3
17302,Age of Empires Online,PC,2011,MedianPlaytime,88.5
17303,Act of Aggression,PC,2015,MedianPlaytime,3.25
17304,Port Royale 3,PS3,,MedianPlaytime,5.2
17305,Port Royale 3,X360,,MedianPlaytime,5.2
17306,F1 2015,PS4,2015,MedianPlaytime,10.85
17307,F1 2015,XOne,2015,MedianPlaytime,10.85
17308,F1 2015,PC,2015,MedianPlaytime,10.85
17309,Stronghold Legends,PC,2006,MedianPlaytime,0.7
17310,Dragon Age II,X360,2011,MedianPlaytime,70
17311,Dragon Age II,PS3,2011,MedianPlaytime,70
17312,Dragon Age II,PC,2011,MedianPlaytime,70
17313,F1 2011,PS3,2011,MedianPlaytime,10.1
17314,F1 2011,X360,2011,MedianPlaytime,10.1
17315,F1 2011,PC,2011,MedianPlaytime,10.1
17316,F1 2011,3DS,2011,MedianPlaytime,10.1
17317,F1 2011,PSV,2011,MedianPlaytime,10.1
17318,Quake 4,X360,2005,MedianPlaytime,0.2
17319,Quake 4,PC,2005,MedianPlaytime,0.2
17320,Sacred 3,PS3,2014,MedianPlaytime,4.95
17321,Sacred 3,X360,2014,MedianPlaytime,4.95
